Follower Athlete ID,Follow Status,Created At
38661790,Accepted,"Jun 2, 2019, 3:15:10 PM"
39781596,Accepted,"Jun 2, 2019, 3:15:38 PM"
31544700,Accepted,"Jun 2, 2019, 8:55:59 PM"
2153423,Accepted,"Jun 3, 2019, 12:33:30 PM"
21657703,Accepted,"Jun 3, 2019, 6:10:22 PM"
26463554,Accepted,"Jun 9, 2019, 9:50:01 AM"
30119876,Accepted,"Jun 10, 2019, 12:01:19 AM"
27062382,Accepted,"Jun 19, 2019, 3:02:57 AM"
32007190,Accepted,"Jul 7, 2019, 7:26:18 PM"
26527145,Accepted,"Aug 9, 2019, 8:06:05 PM"
21678403,Accepted,"Aug 12, 2019, 7:18:23 PM"
15018171,Accepted,"Sep 11, 2019, 3:07:40 PM"
49453570,Accepted,"Jan 1, 2020, 3:43:59 PM"
31280053,Accepted,"Jan 1, 2020, 9:15:55 PM"
49807928,Accepted,"Mar 2, 2020, 10:46:43 PM"
11990708,Accepted,"Mar 3, 2020, 8:24:06 PM"
2921361,Accepted,"Mar 16, 2020, 12:09:31 AM"
47231135,Accepted,"Apr 30, 2020, 4:19:58 AM"
56962693,Accepted,"May 3, 2020, 5:54:34 PM"
51362130,Accepted,"May 7, 2020, 1:26:20 AM"
57499270,Accepted,"May 7, 2020, 10:03:25 PM"
16521434,Accepted,"May 8, 2020, 3:41:06 PM"
50349859,Accepted,"May 9, 2020, 2:47:05 AM"
58730774,Accepted,"May 18, 2020, 8:33:15 PM"
57860665,Accepted,"May 26, 2020, 4:05:22 AM"
58861415,Accepted,"May 28, 2020, 12:25:36 PM"
55253977,Accepted,"May 28, 2020, 1:13:33 PM"
58557750,Accepted,"May 28, 2020, 1:32:11 PM"
43496719,Accepted,"May 29, 2020, 2:45:41 AM"
56004546,Accepted,"Jun 14, 2020, 12:50:45 AM"
28476388,Accepted,"Jun 20, 2020, 9:20:11 PM"
55110807,Accepted,"Oct 17, 2020, 9:04:58 PM"
66668516,Accepted,"Nov 25, 2020, 12:37:05 AM"
